site,depth,age,d13c
1262,benthic,64.00230357,1.18
1262,benthic,64.00798214,1.08
1262,benthic,64.01176786,1.2
1262,benthic,64.01933929,1.28
1262,benthic,64.02691071,1.28
1262,benthic,64.03069643,1.18
1262,benthic,64.036375,1.13
1262,benthic,64.04205357,1.14
1262,benthic,64.05341071,1.22
1262,benthic,64.05908929,1.13
1262,benthic,64.06476786,1.16
1262,benthic,64.07233929,1.22
1262,benthic,64.076125,1.21
1262,benthic,64.08369643,1.12
1262,benthic,64.089375,1.26
1262,benthic,64.09316071,1.24
1262,benthic,64.09928125,1.19
1262,benthic,64.10803125,1.18
1262,benthic,64.12990625,1.31
1262,benthic,64.14521875,1.28
1262,benthic,64.15834375,1.44
1262,benthic,64.16490625,1.47
1262,benthic,64.17146875,1.35
1262,benthic,64.17803125,1.52
1262,benthic,64.18678125,1.46
1262,benthic,64.19771875,1.31
1262,benthic,64.20482143,1.24
1262,benthic,64.24558333,1.41
1262,benthic,64.25322619,1.45
1262,benthic,64.25832143,1.49
1262,benthic,64.28125,1.5
1262,benthic,64.28889286,1.34
1262,benthic,64.29653571,1.37
1262,benthic,64.30672619,1.39
1262,benthic,64.31102586,1.37
1262,benthic,64.31707759,1.32
1262,benthic,64.33119828,1.4
1262,benthic,64.33523276,1.21
1262,benthic,64.34128448,1.32
1262,benthic,64.35540517,1.4
1262,benthic,64.35943966,1.35
1262,benthic,64.36549138,1.41
1262,benthic,64.3715431,1.4
1262,benthic,64.37759483,1.37
1262,benthic,64.38364655,1.34
1262,benthic,64.38969828,1.46
1262,benthic,64.39575,1.43
1262,benthic,64.39978448,1.3
1262,benthic,64.40785345,1.27
1262,benthic,64.41390517,1.39
1262,benthic,64.4199569,1.39
1262,benthic,64.42821875,1.23
1262,benthic,64.43251042,1.28
1262,benthic,64.43894792,1.33
1262,benthic,64.44538542,1.33
1262,benthic,64.45182292,1.32
1262,benthic,64.45826042,1.36
1262,benthic,64.46469792,1.32
1262,benthic,64.47113542,1.22
1262,benthic,64.47971875,1.23
1262,benthic,64.48401042,1.1
1262,benthic,64.49044792,1.16
1262,benthic,64.49688542,1.18
1262,benthic,64.50546875,1.11
1262,benthic,64.50976042,1.14
1262,benthic,64.51619792,1.19
1262,benthic,64.52263542,1.19
1262,benthic,64.52692708,1.16
1262,benthic,64.5344569,1.17
1262,benthic,64.53999138,1.18
1262,benthic,64.54552586,1.17
1262,benthic,64.55290517,1.25
1262,benthic,64.55659483,1.29
1262,benthic,64.56212931,1.26
1262,benthic,64.56766379,1.29
1262,benthic,64.57319828,1.19
1262,benthic,64.57873276,1.25
1262,benthic,64.58426724,1.25
1262,benthic,64.58980172,1.22
1262,benthic,64.59349138,1.22
1262,benthic,64.60087069,1.13
1262,benthic,64.60640517,1.15
1262,benthic,64.61193966,1.18
1262,benthic,64.61931897,1.13
1262,benthic,64.62300862,1.18
1262,benthic,64.6285431,1.18
1262,benthic,64.63407759,1.19
1262,benthic,64.63708333,1.15
1262,benthic,64.64263889,1.22
1262,benthic,64.64680556,1.28
1262,benthic,64.65097222,1.2
1262,benthic,64.65513889,1.25
1262,benthic,64.65930556,1.3
1262,benthic,64.66347222,1.27
1262,benthic,64.66763889,1.32
1262,benthic,64.67180556,1.14
1262,benthic,64.67597222,1.31
1262,benthic,64.68013889,1.29
1262,benthic,64.68430556,1.26
1262,benthic,64.70375,1.32
1262,benthic,64.70930556,1.38
1262,benthic,64.71347222,1.38
1262,benthic,64.71763889,1.32
1262,benthic,64.72180556,1.37
1262,benthic,64.72597222,1.39
1262,benthic,64.73013889,1.37
1262,benthic,64.73605435,1.49
1262,benthic,64.74027174,1.49
1262,benthic,64.74659783,1.52
1262,benthic,64.75292391,1.47
1262,benthic,64.7571413,1.48
1262,benthic,64.76557609,1.45
1262,benthic,64.77190217,1.47
1262,benthic,64.77822826,1.45
1262,benthic,64.78455435,1.44
1262,benthic,64.79088043,1.49
1262,benthic,64.79720652,1.41
