time,d13cval,d13cerror
-0.4975,2.853135899,0.087255259
-0.4925,2.849867947,0.08077717
-0.4875,2.851678959,0.079922208
-0.4825,2.840825925,0.085212083
-0.4775,2.827151448,0.089891989
-0.4725,2.832953934,0.098637285
-0.4675,2.880427708,0.108379328
-0.4625,2.939328372,0.109448694
-0.4575,2.991883922,0.10132258
-0.4525,3.029653716,0.096532126
-0.4475,3.047807858,0.104434854
-0.4425,3.041734507,0.117384827
-0.4375,3.034246623,0.127399371
-0.4325,3.02441468,0.132705092
-0.4275,3.032919817,0.131430176
-0.4225,3.055524077,0.119922102
-0.4175,3.062120495,0.111987097
-0.4125,3.033081366,0.104671478
-0.4075,2.981278875,0.10002933
-0.4025,2.938420265,0.096340665
-0.3975,2.913129892,0.101282051
-0.3925,2.893417726,0.105516022
-0.3875,2.870351022,0.103407553
-0.3825,2.869883471,0.09884495
-0.3775,2.889365121,0.096329654
-0.3725,2.923155016,0.092567447
-0.3675,2.94853634,0.085725924
-0.3625,2.959260994,0.087218801
-0.3575,2.968064965,0.092036233
-0.3525,2.971011046,0.093682632
-0.3475,2.952777871,0.098339855
-0.3425,2.928350639,0.110706556
-0.3375,2.89703039,0.123910874
-0.3325,2.882857742,0.140031794
-0.3275,2.92168956,0.138147642
-0.3225,2.945334119,0.117682815
-0.3175,2.93951377,0.104557447
-0.3125,2.924359282,0.102181292
-0.3075,2.921292684,0.11257354
-0.3025,2.959438487,0.132100311
-0.2975,3.011413314,0.138109172
-0.2925,3.007548565,0.124711069
-0.2875,2.957832775,0.106078636
-0.2825,2.906416162,0.087775598
-0.2775,2.877787826,0.078649494
-0.2725,2.855916859,0.074142102
-0.2675,2.831497569,0.071668846
-0.2625,2.804622181,0.069783523
-0.2575,2.796718518,0.068968736
-0.2525,2.809580001,0.073442104
-0.2475,2.836029861,0.078107998
-0.2425,2.843608397,0.080723266
-0.2375,2.818565597,0.081687279
-0.2325,2.791310633,0.075068673
-0.2275,2.795513474,0.076102332
-0.2225,2.814507185,0.08127134
-0.2175,2.818185801,0.085614121
-0.2125,2.79254292,0.084985873
-0.2075,2.776854682,0.078912109
-0.2025,2.790875243,0.077437948
-0.1975,2.797942445,0.084261193
-0.1925,2.771995345,0.091352821
-0.1875,2.732015681,0.090566463
-0.1825,2.722423078,0.089079569
-0.1775,2.753527615,0.08773997
-0.1725,2.776693255,0.087114256
-0.1675,2.768719789,0.090222402
-0.1625,2.750480514,0.096069543
-0.1575,2.740217999,0.106372339
-0.1525,2.750286569,0.118622044
-0.1475,2.790123854,0.122999037
-0.1425,2.860560624,0.129868741
-0.1375,2.914728598,0.127506365
-0.1325,2.908163953,0.122564389
-0.1275,2.858460002,0.11984018
-0.1225,2.812805843,0.115419229
-0.1175,2.823881718,0.116693339
-0.1125,2.863208656,0.120882246
-0.1075,2.899686865,0.122167965
-0.1025,2.941692424,0.118516807
-0.0975,2.987438391,0.105600993
-0.0925,3.03669572,0.086072022
-0.0875,3.071883214,0.074166364
-0.0825,3.074009207,0.068635284
-0.0775,3.031569223,0.064951533
-0.0725,2.980150909,0.056595898
-0.0675,2.970403845,0.050308471
-0.0625,2.994633058,0.049596713
-0.0575,3.029168097,0.047253318
-0.0525,3.050757427,0.045882794
-0.0475,3.051270841,0.044249684
-0.0425,3.046029522,0.043826237
-0.0375,3.047457746,0.043705586
-0.0325,3.057098755,0.044039434
-0.0275,3.074949093,0.044867281
-0.0225,3.097392015,0.049891289
-0.0175,3.111518229,0.0614042
-0.0125,3.075346185,0.080614431
-0.0075,2.959650935,0.096309845
-0.0025,2.772745893,0.107762925
0.0025,2.535190752,0.112307373
0.0075,2.319454424,0.1032248
0.0125,2.19170424,0.083258417
0.0175,2.129559681,0.069352687
0.0225,2.087547908,0.062856376
0.0275,2.043967678,0.061311646
0.0325,2.017360675,0.061961684
0.0375,2.024344541,0.065034897
0.0425,2.066051858,0.073652428
0.0475,2.124486935,0.085492026
0.0525,2.169918317,0.096590822
0.0575,2.171976975,0.107348448
0.0625,2.122655235,0.110067766
0.0675,2.0537362,0.101970633
0.0725,2.001015693,0.090901354
0.0775,1.963884844,0.091294916
0.0825,1.924798348,0.095901068
0.0875,1.867127503,0.097539204
0.0925,1.812580144,0.099129176
0.0975,1.768649099,0.094106736
0.1025,1.728676058,0.089179277
0.1075,1.703790887,0.082390248
0.1125,1.692912439,0.079024279
0.1175,1.678840734,0.077366748
0.1225,1.664395712,0.075705304
0.1275,1.652444158,0.077582415
0.1325,1.640673912,0.079081065
0.1375,1.630664857,0.081900122
0.1425,1.61832544,0.083450764
0.1475,1.599943062,0.085783819
0.1525,1.572546173,0.089186711
0.1575,1.537654375,0.094853666
0.1625,1.495755181,0.097756655
0.1675,1.463761018,0.101370657
0.1725,1.442674444,0.104736643
0.1775,1.43054099,0.107992877
0.1825,1.408329905,0.110295022
0.1875,1.362890706,0.117165705
0.1925,1.300145074,0.133354643
0.1975,1.211035668,0.158136789
0.2025,1.142528569,0.173956225
0.2075,1.147770921,0.184006239
0.2125,1.225673694,0.188137572
0.2175,1.309061391,0.179991402
0.2225,1.353683594,0.159995787
0.2275,1.35159846,0.149480595
0.2325,1.321101082,0.158893586
0.2375,1.272898413,0.184422105
0.2425,1.24910931,0.194332619
0.2475,1.296045641,0.184381925
0.2525,1.342874073,0.166485831
0.2575,1.373024122,0.1501641
0.2625,1.395058367,0.139570676
0.2675,1.400643935,0.128202179
0.2725,1.397235864,0.123505799
0.2775,1.380105829,0.122342827
0.2825,1.347905334,0.120032457
0.2875,1.327613969,0.115077842
0.2925,1.313178435,0.119444809
0.2975,1.294915099,0.130119819
0.3025,1.274458234,0.135480531
0.3075,1.239495511,0.140787581
0.3125,1.203654394,0.152770325
0.3175,1.157888651,0.159816888
0.3225,1.101261125,0.157158335
0.3275,1.077423141,0.142930826
0.3325,1.094528491,0.122911528
0.3375,1.134990001,0.109651598
0.3425,1.175824024,0.105859194
0.3475,1.208231647,0.099950109
0.3525,1.236062661,0.095645842
0.3575,1.26533188,0.090529175
0.3625,1.301613868,0.088248432
0.3675,1.346527857,0.088105614
0.3725,1.388433067,0.087806342
0.3775,1.40789532,0.083947592
0.3825,1.399139163,0.083363925
0.3875,1.385808258,0.083360163
0.3925,1.379273276,0.086213133
0.3975,1.371931365,0.096068693
0.4025,1.349966583,0.107022291
0.4075,1.328979913,0.113193624
0.4125,1.323326187,0.112549153
0.4175,1.347483503,0.110179446
0.4225,1.376867679,0.102852906
0.4275,1.399838363,0.098661035
0.4325,1.426255022,0.099963392
0.4375,1.459082894,0.101587849
0.4425,1.492216402,0.108308773
0.4475,1.516573735,0.110838641
0.4525,1.534977823,0.111610294
0.4575,1.551863192,0.113073285
0.4625,1.575219459,0.109531829
0.4675,1.595503127,0.103630623
0.4725,1.601139223,0.101401894
0.4775,1.571274102,0.108646685
0.4825,1.503615225,0.117097979
0.4875,1.453763167,0.118908257
0.4925,1.465432275,0.118835923
0.4975,1.520218974,0.115254227
0.5025,1.565551675,0.1025735
0.5075,1.573363479,0.086597151
0.5125,1.562939687,0.076814671
0.5175,1.558542548,0.072249192
0.5225,1.557330854,0.071951279
0.5275,1.56345273,0.069900841
0.5325,1.573271381,0.070686969
0.5375,1.579179023,0.074559868
0.5425,1.572445048,0.077818749
0.5475,1.546250442,0.078959466
0.5525,1.520348739,0.074881068
0.5575,1.505990058,0.068794617
0.5625,1.49624732,0.064646608
0.5675,1.482590966,0.064549937
0.5725,1.46408631,0.064623202
0.5775,1.433909741,0.066052285
0.5825,1.393883894,0.070613089
0.5875,1.358656488,0.075734467
0.5925,1.355337789,0.084071784
0.5975,1.391460787,0.089269321
0.6025,1.44261071,0.085850227
0.6075,1.468757583,0.0849973
0.6125,1.474541364,0.088832649
0.6175,1.482505071,0.100565429
0.6225,1.507637398,0.106370972
0.6275,1.529753373,0.107698483
0.6325,1.539291848,0.105262297
0.6375,1.543960579,0.104323128
0.6425,1.544450233,0.100050255
0.6475,1.537317095,0.101045345
0.6525,1.521406291,0.096770596
0.6575,1.505721959,0.089838518
0.6625,1.50798732,0.08581438
0.6675,1.512479837,0.091788296
0.6725,1.50164532,0.107968939
0.6775,1.459740521,0.13789288
0.6825,1.425207434,0.1551076
0.6875,1.440308772,0.149512646
0.6925,1.485804504,0.136057302
0.6975,1.527413174,0.117771565
0.7025,1.550293347,0.106773393
0.7075,1.561625228,0.106460695
0.7125,1.595865581,0.113185369
0.7175,1.647226794,0.124638722
0.7225,1.668876748,0.13523297
0.7275,1.648890861,0.147666331
0.7325,1.626176346,0.156995625
0.7375,1.610877903,0.157296804
0.7425,1.593739772,0.144310569
0.7475,1.586176895,0.132373207
0.7525,1.603879268,0.12616329
0.7575,1.621243561,0.129949697
0.7625,1.631441906,0.137305496
0.7675,1.633706811,0.144986466
0.7725,1.632255649,0.152423812
0.7775,1.627126449,0.16138113
0.7825,1.62457585,0.175588087
0.7875,1.648705635,0.190135186
0.7925,1.664803963,0.192941527
0.7975,1.660990782,0.191421142
0.8025,1.658902656,0.180220166
0.8075,1.684955702,0.148209255
0.8125,1.707343399,0.109531624
0.8175,1.703335433,0.087380643
0.8225,1.680865793,0.083720648
0.8275,1.658280516,0.09507656
0.8325,1.662372269,0.113357212
0.8375,1.721499892,0.131582172
0.8425,1.785884113,0.144583213
0.8475,1.810660948,0.155451537
0.8525,1.812681181,0.161273193
0.8575,1.84024647,0.144576193
0.8625,1.847322815,0.129374422
0.8675,1.825208567,0.128612186
0.8725,1.809528264,0.128524873
0.8775,1.820602695,0.125361699
0.8825,1.831680692,0.116943637
0.8875,1.838244872,0.108808186
0.8925,1.860898009,0.100097214
0.8975,1.911435886,0.088812064
0.9025,1.964109555,0.076878679
0.9075,1.983200264,0.07041668
0.9125,1.969124682,0.069470799
0.9175,1.953649226,0.068698403
0.9225,1.965706395,0.066828625
0.9275,1.995254712,0.0667143
0.9325,2.013414932,0.067554081
0.9375,2.009677447,0.074653547
0.9425,2.010761042,0.076819861
0.9475,2.02486078,0.068526261
0.9525,2.033190868,0.058487476
0.9575,2.025102435,0.053018177
0.9625,2.008215822,0.053414595
0.9675,1.998591649,0.05655875
0.9725,2.003815607,0.062826609
0.9775,2.019563725,0.06778014
0.9825,2.044792333,0.07038084
